BP De Horne;Rijksweg A7 (Zuidzijde);8507AA;HASKERHORNE
BP De Baandert;De Baandert 3;1962WH;HEEMSKERK
BP Heerenveen;Burg. Kuperusplein 130;8442CR;HEERENVEEN
BP Business Park;Haskeruitgang 111;8447CK;HEERENVEEN
BP Middenwaard;Zuidtangent 1;1703SG;HEERHUGOWAARD
BP Westerweg;Westerweg 2;1704PC;HEERHUGOWAARD
BP Stad van de Zon;Oosttangent 2;1705PA;HEERHUGOWAARD
BP De Beitel;Euregioweg 1;6422PG;HEERLEN
BP Heesch;Nistelrodeseweg 3;5384BA;HEESCH
BP Hellevoetsluis;Nijverheidsweg 10;3225LL;HELLEVOETSLUIS
BP Helvoirt;Rijksweg 24;5268KJ;HELVOIRT (GEM.HAAREN)
BP Wenting;Molenenk 2;7255AX;HENGELO (Gld.)
BP Over het Spoor;Jan V.D. Heijdenstraat 26;1221EJ;HILVERSUM
BP De Bolder;Rijksweg A1 (Zuidzijde);7451HX;HOLTEN
BP De Bloemenveiling;Middelbroekweg 35;2675KD;HONSELERSDIJK
BP Hoofddorp;Kruisweg 450;2132LA;HOOFDDORP
BP Kok A4 West;Rijksweg A4 nr 2;2132MA;HOOFDDORP
BP Hoogeveen;Het Haagje 145;7902LE;HOOGEVEEN
BP Zuid-Oost;Buizerdlaan 147;7905GD;HOOGEVEEN
BP Boomgaardshoek;Duifhuisweg 1;3191LC;HOOGVLIET
BP De Keern;Keern 17;1622NA;HOORN
BP De Huesmolen;Zwaagmergouw 1;1625PA;HOORN
BP Commandeur IJmuiden;IJmuiderstraatweg 120;1972LG;IJMUIDEN
BP Slump Joure;Geert Knolweg 52b;8501MK;JOURE
BP Jouster Poort;Geert Knolweg 64;8501ZN;JOURE
BP Kessel;Baarloseweg 48;5995BL;KESSEL
BP Keizershof;Parallellweg Zuid Rijksweg A17 17 (Oostzijde);4791SZ;KLUNDERT
BP Vliete;Rijksweg A58 (Noordzijde);4413II;KRABBENDIJKE
BP De Voetpomp;Rijksweg A58 (Zuidzijde);4413RB;KRABBENDIJKE
BP Schulte;Heulweg 118 A;2295KK;KWINTSHEUL
BP Kadoelen;IJdoornlaan 11;1121DS;LANDSMEER
BP Laren (GLD);Rengersweg 18;7245NA;LAREN GLD
BP Tjoelker;Diepswal 22;9351TB;LEEK
BP Huizum;Drachtsterweg 4;8934BV;LEEUWARDEN
BP Larserdreef;Ketelmeerstraat 220;8226PA;LELYSTAD
BP Lemmer;Zeedijk 1;8531DK;LEMMER
BP Lopik;M.A. Reinaldaweg 10;3411MB;LOPIK
BP Lopik (overzijde);M.A. Reinaldaweg t/o 10;3411MB;LOPIK
BP Maarssenbroek;Floraweg 2;3608BW;MAARSSEN
BP Voordaan;Rijksweg A27 (Oostzijde);3737AA;MAARTENSDIJK
BP Van Kessel Olie B.V.;Provincialeweg 19;5993RG;MAASBREE
BP De Geusselt;Dr. Schaepmanstraat 75;6225XW;MAASTRICHT
BP De Heeg;Oeslingerbaan 100;6228LK;MAASTRICHT
BP 't Groene Land;Oude Postweg 1;9355TR;MIDWOLDE
BP Milheeze;Milheesestraat 19;5763AD;MILHEEZE
BP Van Gennep;Ambachtweg 40;2841LZ;MOORDRECHT
BP Honswijck;Rijksweg A1 (Zuidzijde);1398PN;MUIDEN
BP Naarden;Lamb. Hortensiuslaan 23;1412GV;NAARDEN
BP Lamb. Hortensiuslaan;Lamb. Hortensiuslaan 8A;1412GW;NAARDEN
BP Venneperweg;Venneperweg 533;2152CB;NIEUW VENNEP
BP Jutphaas;Richterslaan 1;3431AD;NIEUWEGEIN
BP De Kroon;Rijksweg A27 (Westzijde);3433NW;NIEUWEGEIN
BP De IJssel;Rijksweg A2;3437PV;NIEUWEGEIN
BP De Vink;Rijksweg A20 (Zuidzijde);2913LW;NIEUWERKERK A/D IJSSEL
BP Maas Nieuwkoop BV;Nieuwveenseweg 7;2421LA;NIEUWKOOP
BP Bovenboer;Rijksweg A32 - nr 2  (Westzijde);7973KT;NIJEVEEN
BP Molenweg;Molenweg 119;6543VA;NIJMEGEN
BP Servicestation Van Duijnhoven;Maxend 20;5388TX;NISTELRODE
BP Kruisoord;Rijksweg A7 (Westzijde);1462LL;NOORDBEEMSTER
BP De Keie;Hoogstraat 25;5391BX;NULAND
BP Nunspeet;F.A. Molijnlaan 188;8071AK;NUNSPEET
BP Elsgeest;Rijksweg A44 - nr 200 (Oostzijde);2343ZZ;OEGSTGEEST
BP Oirschot;Kempenweg 5;5688MZ;OIRSCHOT
BP Vieveen Oisterwijk B.V.;Gemullehoekenweg 79;5062CA;OISTERWIJK
BP Coentunnel;Rijksweg A8 (Oostzijde);1511HX;OOSTZAAN
BP Ussen;Leygraaf 9;5345SM;OSS
BP Oud Beijerland;Beneden Oostdijk 140;3261KK;OUD-BEIJERLAND
BP De Ketel;Ketelweg 91;3356LD;PAPENDRECHT
BP Overwhere;Wagenweg 7;1442BX;PURMEREND
BP Putten;Ouderijksweg 9;3881EH;PUTTEN
BP Raalte;Westdorplaan 126;8101PP;RAALTE
BP Ridderkerk;Rijksweg A15 - 2 (Zuidzijde);2989AT;RIDDERKERK
BP Bolnes;Benedenrijweg 184;2987VB;RIDDERKERK
BP Plaspoelpolder;Burg. Elsenlaan 156;2283AE;RIJSWIJK
BP Zoomseweg;Prinses Beatrixlaan 1147;2284BR;RIJSWIJK
BP De Boogaard;J.C. Van Markenlaan 1;2285VL;RIJSWIJK
BP Ypenburg;Laan van Hoornwijk 70;2289DG;RIJSWIJK
BP Langdonk;Burg. Schneiderlaan 10;4707XC;ROOSENDAAL
BP Van den Berg's Autorette;Molenstraat t/o 6;5242HA;ROSMALEN
BP Hintham;Jan Heymanslaan 92;5246BM;ROSMALEN
BP Rossum;Van Heemstraweg 1;5328JG;ROSSUM
BP Abram van Rijckevorselweg;Abram van Rijckevorselweg 75;3062CX;ROTTERDAM
BP Blijdorp;Abraham van Stolkweg 3;3041JA;ROTTERDAM
BP Tjalklaan;Tjalklaan 12;3044AZ;ROTTERDAM
BP Spaanse Polder;Vlaardingweg 64;3044CK;ROTTERDAM
BP Doenkade;Doenkade 101;3053KC;ROTTERDAM
BP Bosdreef I (Uitgaand);Bosdreef 12;3062CA;ROTTERDAM
BP Capelseweg;Capelseweg 355;3068AX;ROTTERDAM
BP Charlois 1 (Noordzijde);Groene Kruisweg 389;3088NB;ROTTERDAM
BP Charlois 2 (Zuidzijde);Groene Kruisweg 380;3088NB;ROTTERDAM
BP Mastpolder;Rijksweg A58 nr. 86 (Zuidzijde);4715TA;RUCPHEN
BP De Gagel;Rijksweg A50 (Zuidzijde);5374PJ;SCHAIJK
BP Manders;Erikastraat 5;5482WR;SCHIJNDEL
BP Neherkade;Neherkade 2980;2521VX;S-GRAVENHAGE
BP Loevesteinlaan;Loevesteinlaan 887;2533BW;S-GRAVENHAGE
BP Leyweg;Volendamlaan 1 - kruising Leyweg;2545CB;S-GRAVENHAGE
BP Ockenburgh;Ockenburghstraat 35;2553AA;S-GRAVENHAGE
BP Statenlaan;Statenlaan 158;2582GA;S-GRAVENHAGE
BP Laan van N.O.I.;Laan Van Nieuw Oost Indie 285;2593BS;S-GRAVENHAGE
BP Beatrixlaan;Prinses Beatrixlaan 28;2595AL;S-GRAVENHAGE
BP De Rotonde;Kon. Julianaweg 142a;2691GH;S-GRAVENZANDE
BP Vismale;Vlijmenseweg 1;5223GW;S-HERTOGENBOSCH
BP De Rompert;St. Teunislaan 84;5231BR;S-HERTOGENBOSCH
BP Middenweg;Middenweg 100;6134AT;SITTARD
BP Slump Oil Sneek;Lemmerweg 63;8608JL;SNEEK
BP De Grachten;Koningsweg 17;3762EA;SOEST
BP De Sonse Heide;Rijksweg A50 - 1;5691PL;SON EN BREUGEL
BP St. Willebrord;Poppestraat 130;4711EZ;ST. WILLEBRORD
BP Wehkamp;Eerschotsestraat 74;5491AD;ST.OEDENRODE
BP Stadskanaal;Steenhouwer 33;9502EV;STADSKANAAL
BP Dalhuisen 't Harde;Eperweg 105;8084HD;T HARDE
BP 't Hazennest;Burg. Brechtweg 50;5012TL;TILBURG
BP Kempenbaan I (Uitgaand);Kempenbaan 35;5022KC;TILBURG
BP van Dijk;Meervelderweg 143;3888NJ;UDDEL
BP Ramelle;Pres. Kennedylaan 24;5402KD;UDEN
BP Udenhout;Kreitenmolenstraat 114;5071BJ;UDENHOUT
BP De Hucht;Rijksweg A1 (Noordzijde);7331ET;UGCHELEN / APELDOORN
BP Lunetten;Lunettenbaan 100;3524LN;UTRECHT
BP Beneluxlaan;Beneluxlaan 1001;3526KK;UTRECHT
BP Cartesiusweg;Cartesiusweg 140;3534BD;UTRECHT
BP Galgenwaard;Herculesplein 300;3584AA;UTRECHT
BP Klink;Laan van Fasna 60;8171BW;VAASSEN
BP Tankstop Brussen;Euroweg 1;7051EB;VARSSEVELD
BP De Panjerd;Rijksweg A28 - nr 3 (Noordzijde);7924PV;VEENINGEN
BP Marinus Veenwouden;Juliusstrjitte 1;9269NV;VEENWOUDEN
BP Veghel;Udenseweg 5;5464VA;VEGHEL
BP Klaver 1;Pastoor Stassenstraat 49;5921CS;VENLO
BP Klaver 2;Henriette Roland Holstlaan 50;5925AA;VENLO
BP Reijnen;Europaweg 21 - A67;5916RP;VENLO
BP Venray;Leunseweg 47A;5802CG;VENRAY
BP Marathonweg;Marathonweg 18;3132LA;VLAARDINGEN
BP Maassluis;Rijksweg A20 (Noordzijde);3138HB;VLAARDINGEN
BP Autobedrijf Molenaar;Julianaweg 1-3;1131CX;VOLENDAM
BP Vreeland;Singel 3;3633CW;VREELAND
BP De Voldijn;Burg. Mollaan 1 A;5582CJ;WAALRE
BP De Zweth Wateringen;Wippolderlaan 2 (N211);2291XX;WATERINGEN
BP Weert;Roermondseweg 112;6004AV;WEERT
BP Meiberg;Rijksweg A2 - nr 77 (Noordzijde);6004RW;WEERT
BP Weesp hoofdzijde;Gooilandseweg 2;1381HR;WEESP
BP Well;Moleneind 19;5855CB;WELL
BP t Ambacht;Het Ambacht 35;6931II;WESTERVOORT
BP Bornheim;Rijksweg A28 - 2;8091ZZ;WEZEP
BP Jongeneel;Provincialeweg 36;3366BH;WIJNGAARDEN
BP Tankstation Winsum;Garnwerderweg 2a;9951TP;WINSUM
BP Winterswijk;Vredenseweg 82a;7101LR;WINTERSWIJK
BP Zandvoort;Van Lennepweg 4;2041LG;ZANDVOORT
BP Bergweg;Bergweg 57;3707AA;ZEIST
BP Zwaardslootseweg;Zwaardslootseweg 3;2717PE;ZOETERMEER
BP Palenstein;Van Aalstlaan 380;2722RX;ZOETERMEER
BP Zutphen;Warnveldseweg 170;7204BJ;ZUTPHEN
BP Munnikensteeg;Munnikensteeg 26;3335LJ;ZWIJNDRECHT
BP IJsselallee;IJsselallee 1;8017ZA;ZWOLLE
BP express Aalsmeer;Machineweg 301 o/p;1432ES;AALSMEER
BP express Aalten;Bredevoortsestraatweg 119;7121BG;AALTEN
BP express Abbenbroek;Rondweg 2;3216LM;ABBENBROEK
BP express Alexandrium;Koperstraat 14;3067GL;ROTTERDAM
BP express Andelst;Wageningsestraat 32A;6673DD;ANDELST
BP express Apeldoorn;Laan van Kuipershof 10;7327AX;APELDOORN
BP express Asten;Emmastraat 73;5721HA;ASTEN
BP express Barneveld;Van Dompselaerstraat 83-85;3772AC;BARNEVELD
BP express Beekbergen;Dorpstraat 193;7361AT;BEEKBERGEN
BP express Berg en Terblijt;Rijksweg 24;6325AE;BERG EN TERBLIJT
BP express Bergschenhoek;Bergweg Zuid 70;2661CV;BERGSCHENHOEK
BP express Burgum;Mr. W.M. Oppedijk van Veenweg 2;9251GA;BURGUM
BP express Brielle;Rijksweg N-57 Oost;3237MD;BRIELLE
BP express Deventer;Zutphenseweg 17;7418AG;DEVENTER
BP express Dieren;Imboslaan 140;6951KC;DIEREN
BP express Dokkum;Woudweg 49;9101VJ;DOKKUM
BP express Drecht-in;Loosdrechtseweg 200;1215KD;HILVERSUM
BP express Eemnes;Rijksweg 2;3755MV;EEMNES
BP express Elderveld;Hollandweg 51;6843JN;ARNHEM
BP express Europoort;d'Arcyweg 11;3198NA;ROTTERDAM
BP express Noord Brabantlaan;Noord Brabantlaan 4a;5651LX;EINDHOVEN
BP express Emmen;Edisonstraat 2E;7825GS;EMMEN
BP express Geldermalsen;D.J. Van Wijkstraat 9-11;4191NC;GELDERMALSEN
BP express Gemert;Komweg 35;5421LA;GEMERT
BP express Gendt;Langstraat 10;6691EG;GENDT
BP express Goes;Van de Spiegelstraat 92;4461LN;GOES
BP express Havenkwartier;Loosdrechtseweg 28-30;1215JW;HILVERSUM
BP express Heeze;Kapelstraat 35;5591HC;HEEZE
BP express Heikantlaan;Heikantlaan 10;5011SZ;TILBURG
BP express Heiloo;Westerweg 251;1852AG;HEILOO
BP express Heteren;Muskushouwsestraat 1;6666MA;HETEREN
BP express Hoogvliet;Aveling 200;3191LB;HOOGVLIET
BP express Ingen;De Brei 12;4031JE;INGEN
BP express IJmuiden;Dokweg 14;1976CA;IJMUIDEN
BP express Kaatsheuvel;Dreefseweg 52-54;5171VM;KAATSHEUVEL
BP express Kampen;Flevoweg 61;8264PA;KAMPEN
BP express Kerkdriel;Kerkstraat 116;5331CJ;KERKDRIEL
BP express Leersum;Rijksstraatweg 152;3956CT;LEERSUM
BP express Winkelhof;Engelendaal 2;2353MA;LEIDERDORP
BP express Lisse;Heereweg 50;2161AH;LISSE
BP express Maasdam;Sportlaan 1;3299XG;MAASDAM
BP express Made;Adellaan 4;4921BM;MADE
BP express Naaldwijk;Secr. Verhoefweg 21;2671HT;NAALDWIJK
BP express Nijkerk;Smitspol 6;3861RS;NIJKERK
BP express Smits;Pasteurlaan 4;4901DJ;OOSTERHOUT
BP express Overleek;Westerzeedijk 1;1671GX;MEDEMBLIK
BP express Papendrecht;Rembrandtlaan 1;3351RE;PAPENDRECHT
BP express Purmersteijn;Leeuwerikplein 1;1444HW;PURMEREND
BP express Renswoude;Barneveldsestraat 29;3927CA;RENSWOUDE
BP express Rhenen;Utrechtsestraatweg 58;3911TW;RHENEN
BP express Molenvliet;Molenvliet 14;3076CK;ROTTERDAM
BP express De Lichtmis;Oude Rijksweg 510;7954GK;ROUVEEN
BP express Silvolde;Berkenlaan 168;7064HV;SILVOLDE
BP express Singraven;Oldenzaalsestraat 52;7591GM;DENEKAMP
BP express Soesterberg;Amersfoortsestraat 13;3769AD;SOESTERBERG
BP express Ter Aar;West Kanaalweg 106-107;2461EK;TER AAR
BP express Teteringen;Oosterhoutseweg 8A;4847TC;TETERINGEN
BP express Ten Post;Rijksweg 113;9792PC;TEN POST
BP express Ulvenhout;Chaamsebaan 6;4851SN;ULVENHOUT
BP express Utrecht;Alb. Schweitzerdreef 12;3562MA;UTRECHT
BP express Voorburg;Prins Bernhardlaan 516;2272ZZ;VOORBURG
BP express Voorschoten;Voorschoterweg 20;2251LS;VOORSCHOTEN
BP express Vriezenveen;Verzetstraat 7;7671GH;VRIEZENVEEN
BP express Zelhem;Doetinchemseweg 53;7021BR;ZELHEM
BP express Zevenbergen;Kristallaan 15;4761ZC;ZEVENBERGEN
BP express Zwanenburg;IJweg 341;1161EX;ZWANENBURG
BP Barneveld;Harselaarseweg 16;3771MB;BARNEVELD
BP Beerta;Ulsderweg 2a;9686XX;BEERTA
BP Bleiswijk;Klappolder 1;2665LP;BLEISWIJK
BP Bodegraven;Europaweg 2;2411NE;BODEGRAVEN
BP Breda - Veiling;Heilaarstraat 265;4814NZ;BREDA
BP Hazeldonk;Hazeldonk 1004-1;4891LC;RIJSBERGEN
BP Kassing De Raaphof;Schoudermantel 52;3981AG;BUNNIK
BP Van de Berg;Noord Zuidroute 2;1424RT;DE KWAKEL
BP De Meern;Molensteijn 20;3454PT;DE MEERN
BP Dinteloord;Steenbergseweg 97 B;4671BE;DINTELOORD
BP Meerheide;Meerheide 25;5521VW;EERSEL
BP Emmen (Bedrijvenpark A37);Edisonstraat 2E;7825GS;EMMEN
BP Enschede (Transportcentrum Twente);Transport Centrum 14;7547RW;ENSCHEDE
BP Nerefco Europoort;D'Arcyweg 76;3198NA;EUROPOORT
BP Automaat Kant;Expeditiestraat 6;4283JG;GIESSEN
BP Winschoterdiep;Bornholmstraat 60;9723AZ;GRONINGEN
BP Haarlem;Heringaweg 4;2031BW;HAARLEM
BP Haps;Schuttersweg 16;5443PR;HAPS
BP Joure;Yndustrywei 25;8501SN;JOURE
BP 't Heen;Steenbakkerstraat 11;2222AT;KATWIJK
BP Marumerlage;Transportweg 10;9363TL;MARUM
BP Moerdijk;Middenweg 8;4782PM;MOERDIJK
BP Nieuwegein 'Team Trans';Veldwade 22;3439LE;NIEUWEGEIN
BP Oosterhout - Vijf Eiken;Souvereinstraat 4;4903RH;OOSTERHOUT
BP Rijnsburg;Laan van Verhof 3;2231BZ;RIJNSBURG
BP Roermond;Konstruktieweg 9;6045JD;ROERMOND
BP Spaanse Polder;Vlaardingweg 64;3044CK;ROTTERDAM
BP Waalhaven;Albert Plesmanweg 199;3088GC;ROTTERDAM
BP Ter Apelkanaal;Handelsweg 3;9563TR;TER APELKANAAL
BP Veenendaal;Plesmanstraat 9-11;3905KZ;VEENENDAAL
BP Beverwijk;Basisweg 50;1951NE;VELSEN-NOORD
BP Marcel Bos;Declarantenweg 15;5915PH;VENLO
BP Waalwijk - Haven;Zijlweg 2;5145NR;WAALWIJK
BP Winterswijk;Rondweg Zuid 21;7102JD;WINTERSWIJK
BP Westerspoor-Zuid;Rechte Tocht 12;1507BZ;ZAANDAM
BP De Wildeman;Bossekamp 4a;5301LZ;ZALTBOMMEL
BP Zoetermeer;Wattstraat 60;2723RD;ZOETERMEER
BP Autobedrijf Bert Dyers;Marconistraat 17;8013PK;ZWOLLE
